trade_id,entry_time,exit_time,direction,entry_price,exit_price,initial_sl,final_sl_at_exit,tp1,tp2,tp1_hit_status,position_size,pnl_pips,pnl_currency,fvg_type_entry,fvg_timestamp_entry,exit_reason,session,entry_candle_idx,exit_candle_idx,duration_candles
16,2024-05-03 01:35:00,2024-05-03 01:40:00,SHORT,2304.36,2304.44,2304.44,2304.44,2304.2,2304.11,False,18.46,-8.0,-147.68,bearish,2024-05-03 01:30:00,sl_hit,ny_overlap,559,560,1
17,2024-05-03 02:10:00,2024-05-03 02:15:00,SHORT,2303.39,2303.47,2303.47,2303.47,2303.23,2303.14,False,18.09,-8.0,-144.72,bearish,2024-05-03 02:05:00,sl_hit,ny_overlap,566,567,1
18,2024-05-03 21:10:00,2024-05-03 21:15:00,SHORT,2300.94,2301.02,2301.02,2301.02,2300.78,2300.69,False,17.73,-8.0,-141.84,bearish,2024-05-03 21:05:00,sl_hit,london_primary,794,795,1
19,2024-05-03 21:20:00,2024-05-03 21:25:00,SHORT,2299.67,2299.75,2299.75,2299.75,2299.51,2299.42,False,17.38,-8.0,-139.04,bearish,2024-05-03 21:15:00,sl_hit,london_primary,796,797,1
20,2024-05-03 22:20:00,2024-05-03 22:25:00,LONG,2298.73,2298.65,2298.65,2298.65,2298.89,2298.98,False,17.03,-8.0,-136.24,bullish,2024-05-03 22:15:00,sl_hit,london_primary,808,809,1
21,2024-05-06 01:20:00,2024-05-06 01:25:00,SHORT,2301.81,2301.89,2301.89,2301.89,2301.65,2301.56,False,16.69,-8.0,-133.52,bearish,2024-05-06 01:15:00,sl_hit,ny_overlap,832,833,1
22,2024-05-06 02:30:00,2024-05-06 02:35:00,SHORT,2294.75,2294.83,2294.83,2294.83,2294.59,2294.5,False,16.36,-8.0,-130.88,bearish,2024-05-06 02:25:00,sl_hit,ny_overlap,846,847,1
23,2024-05-06 02:35:00,2024-05-06 02:40:00,SHORT,2294.38,2294.46,2294.46,2294.46,2294.22,2294.13,False,16.03,-8.0,-128.24,bearish,2024-05-06 02:30:00,sl_hit,ny_overlap,847,848,1
24,2024-05-06 22:45:00,2024-05-06 22:50:00,SHORT,2323.92,2324.0,2324.0,2324.0,2323.76,2323.67,False,15.71,-8.0,-125.68,bearish,2024-05-06 22:40:00,sl_hit,london_primary,1089,1090,1
25,2024-05-07 01:45:00,2024-05-07 01:50:00,LONG,2326.19,2326.44,2326.11,2326.19,2326.35,2326.44,True,15.39,25.0,384.75,bullish,2024-05-07 01:40:00,tp2_hit,ny_overlap,1113,1114,1
26,2024-05-07 01:50:00,2024-05-07 01:55:00,LONG,2326.83,2326.75,2326.75,2326.75,2326.99,2327.08,False,16.36,-8.0,-130.88,bullish,2024-05-07 01:45:00,sl_hit,ny_overlap,1114,1115,1
27,2024-05-07 02:10:00,2024-05-07 02:15:00,SHORT,2324.15,2324.23,2324.23,2324.23,2323.99,2323.9,False,16.03,-8.0,-128.24,bearish,2024-05-07 02:05:00,sl_hit,ny_overlap,1118,1119,1
28,2024-05-07 02:15:00,2024-05-07 02:20:00,SHORT,2322.69,2322.77,2322.77,2322.77,2322.53,2322.44,False,15.71,-8.0,-125.68,bearish,2024-05-07 02:10:00,sl_hit,ny_overlap,1119,1120,1
29,2024-05-07 02:30:00,2024-05-07 02:35:00,LONG,2325.09,2325.01,2325.01,2325.01,2325.25,2325.34,False,15.39,-8.0,-123.12,bullish,2024-05-07 02:25:00,sl_hit,ny_overlap,1122,1123,1
30,2024-05-07 21:05:00,2024-05-07 21:10:00,SHORT,2313.76,2313.84,2313.84,2313.84,2313.6,2313.51,False,15.09,-8.0,-120.72,bearish,2024-05-07 20:55:00,sl_hit,london_primary,1345,1346,1
31,2024-05-07 21:35:00,2024-05-07 21:40:00,SHORT,2313.16,2313.24,2313.24,2313.24,2313.0,2312.91,False,14.780000000000001,-8.0,-118.24,bearish,2024-05-07 21:30:00,sl_hit,london_primary,1351,1352,1
32,2024-05-07 22:50:00,2024-05-07 22:55:00,LONG,2314.33,2314.25,2314.25,2314.25,2314.49,2314.58,False,14.49,-8.0,-115.92,bullish,2024-05-07 22:45:00,sl_hit,london_primary,1366,1367,1
33,2024-05-07 22:55:00,2024-05-07 23:00:00,LONG,2314.67,2314.59,2314.59,2314.59,2314.83,2314.92,False,14.200000000000001,-8.0,-113.6,bullish,2024-05-07 22:50:00,sl_hit,london_primary,1367,1368,1
34,2024-05-08 01:05:00,2024-05-08 01:10:00,LONG,2315.59,2315.51,2315.51,2315.51,2315.75,2315.84,False,13.92,-8.0,-111.36,bullish,2024-05-08 01:00:00,sl_hit,ny_overlap,1381,1382,1
35,2024-05-08 01:35:00,2024-05-08 01:40:00,SHORT,2315.05,2315.13,2315.13,2315.13,2314.89,2314.8,False,13.64,-8.0,-109.12,bearish,2024-05-08 01:30:00,sl_hit,ny_overlap,1387,1388,1
