trade_num_daily,entry_time,entry_price,trade_type,lot_size,sl_price,tp1_price,tp2_price,sl_pips,status,tp1_hit,reason,entry_index,exit_time,exit_price,pips,profit,exit_reason,balance_after,closed_lot_size
1,2024-01-02 21:00:00,2061.23,sell,0.02,2061.93,2059.83,2058.73,7.0,closed_full,False,Setup FVG bullish Fail (Confirmed),240,2024-01-02 21:05:00,2061.93,-6.999999999998181,-1.3999999999996362,SL Hit,28.600000000000364,0.02
1,2024-01-03 21:05:00,2033.84,sell,0.02,2034.54,2032.4399999999998,2031.34,7.0,closed_partial,False,Setup FVG bullish Fail (Confirmed),517,2024-01-03 21:10:00,2032.4399999999998,14.00000000000091,1.400000000000091,TP1 Hit (Partial),30.000000000000455,0.01
1,2024-01-03 21:05:00,2033.84,sell,0.01,2033.84,2032.4399999999998,2031.34,7.0,closed_full,True,Setup FVG bullish Fail (Confirmed),517,2024-01-03 21:10:00,2031.34,25.0,2.5,TP2 Hit,32.500000000000455,0.01
2,2024-01-03 21:10:00,2032.95,sell,0.02,2033.65,2031.55,2030.45,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),518,2024-01-03 21:15:00,2033.65,-7.000000000000455,-1.400000000000091,SL Hit,31.100000000000364,0.02
3,2024-01-03 21:20:00,2034.29,buy,0.02,2033.59,2035.69,2036.79,7.0,closed_partial,False,Continuous FVG bearish Fail (Confirmed),520,2024-01-03 21:25:00,2035.69,14.00000000000091,1.400000000000091,TP1 Hit (Partial),32.500000000000455,0.01
3,2024-01-03 21:20:00,2034.29,buy,0.01,2034.29,2035.69,2036.79,7.0,closed_full,True,Continuous FVG bearish Fail (Confirmed),520,2024-01-03 21:25:00,2036.79,25.0,2.5,TP2 Hit,35.000000000000455,0.01
4,2024-01-03 21:30:00,2038.84,buy,0.02,2038.1399999999999,2040.24,2041.34,7.0,closed_full,False,Continuous FVG bearish Fail (Confirmed),522,2024-01-03 21:35:00,2038.1399999999999,-7.000000000000455,-1.400000000000091,SL Hit,33.600000000000364,0.02
1,2024-01-04 21:00:00,2043.13,buy,0.02,2042.43,2044.5300000000002,2045.63,7.0,closed_full,False,Setup FVG bearish Fail (Confirmed),792,2024-01-04 21:15:00,2042.43,-7.000000000000455,-1.400000000000091,SL Hit,32.20000000000027,0.02
2,2024-01-04 21:15:00,2042.88,buy,0.02,2042.18,2044.2800000000002,2045.38,7.0,closed_partial,False,Continuous FVG bearish Fail (Confirmed),795,2024-01-04 21:45:00,2044.2800000000002,14.00000000000091,1.400000000000091,TP1 Hit (Partial),33.600000000000364,0.01
2,2024-01-04 21:15:00,2042.88,buy,0.01,2042.88,2044.2800000000002,2045.38,7.0,closed_full,True,Continuous FVG bearish Fail (Confirmed),795,2024-01-05 01:25:00,2042.88,0.0,0.0,SL Hit,33.600000000000364,0.01
1,2024-01-08 21:15:00,2028.13,buy,0.02,2027.43,2029.5300000000002,2030.63,7.0,closed_full,False,Setup FVG bearish Fail (Confirmed),1347,2024-01-08 21:20:00,2028.33,1.999999999998181,0.3999999999996362,Confirmed Reversal,34.0,0.02
2,2024-01-08 21:20:00,2027.76,sell,0.02,2028.33,2026.6200000000001,2025.26,5.699999999999363,closed_full,False,Reversal after 2 FVG fails,1348,2024-01-08 21:25:00,2028.33,-5.699999999999363,-1.1399999999998727,SL Hit,32.86000000000013,0.02
3,2024-01-08 21:25:00,2028.31,sell,0.02,2028.4099999999999,2028.11,2025.81,1.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),1349,2024-01-08 21:30:00,2028.4099999999999,-0.9999999999990905,-0.1999999999998181,SL Hit,32.66000000000031,0.02
4,2024-01-08 21:30:00,2028.28,sell,0.02,2028.3799999999999,2028.08,2025.78,1.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),1350,2024-01-08 21:35:00,2028.3799999999999,-0.9999999999990905,-0.1999999999998181,SL Hit,32.46000000000049,0.02
1,2024-01-09 21:45:00,2028.01,sell,0.02,2028.71,2026.61,2025.51,7.0,closed_full,False,Setup FVG bullish Fail (Confirmed),1629,2024-01-09 21:50:00,2028.71,-7.000000000000455,-1.400000000000091,SL Hit,31.0600000000004,0.02
2,2024-01-09 21:50:00,2028.06,sell,0.02,2028.76,2026.6599999999999,2025.56,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),1630,2024-01-09 21:55:00,2028.76,-7.000000000000455,-1.400000000000091,SL Hit,29.66000000000031,0.02
3,2024-01-09 21:55:00,2028.85,buy,0.02,2028.1499999999999,2030.25,2031.35,7.0,closed_partial,False,Continuous FVG bearish Fail (Confirmed),1631,2024-01-09 22:00:00,2030.25,14.00000000000091,1.400000000000091,TP1 Hit (Partial),31.0600000000004,0.01
3,2024-01-09 21:55:00,2028.85,buy,0.01,2028.85,2030.25,2031.35,7.0,closed_full,True,Continuous FVG bearish Fail (Confirmed),1631,2024-01-09 22:00:00,2030.35,15.0,1.5,Confirmed Reversal,32.5600000000004,0.01
4,2024-01-09 22:00:00,2028.85,sell,0.02,2029.07,2028.4099999999999,2026.35,2.200000000000273,closed_full,False,Reversal after 2 FVG fails,1632,2024-01-09 22:05:00,2029.07,-2.200000000000273,-0.44000000000005457,SL Hit,32.120000000000346,0.02
1,2024-01-10 21:10:00,2020.95,sell,0.02,2021.65,2019.55,2018.45,7.0,closed_full,False,Setup FVG bullish Fail (Confirmed),1898,2024-01-10 21:25:00,2021.65,-7.000000000000455,-1.400000000000091,SL Hit,30.720000000000255,0.02
2,2024-01-10 21:25:00,2021.44,sell,0.02,2022.14,2020.04,2018.94,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),1901,2024-01-10 21:30:00,2022.14,-7.000000000000455,-1.400000000000091,SL Hit,29.320000000000164,0.02
3,2024-01-10 21:30:00,2022.57,sell,0.02,2023.27,2021.1699999999998,2020.07,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),1902,2024-01-10 21:35:00,2023.27,-7.000000000000455,-1.400000000000091,SL Hit,27.920000000000073,0.02
4,2024-01-10 21:35:00,2023.55,buy,0.02,2022.85,2024.95,2026.05,7.0,closed_partial,False,Continuous FVG bearish Fail (Confirmed),1903,2024-01-10 22:00:00,2024.95,14.00000000000091,1.400000000000091,TP1 Hit (Partial),29.320000000000164,0.01
4,2024-01-10 21:35:00,2023.55,buy,0.01,2023.55,2024.95,2026.05,7.0,closed_full,True,Continuous FVG bearish Fail (Confirmed),1903,2024-01-10 22:10:00,2023.55,0.0,0.0,SL Hit,29.320000000000164,0.01
1,2024-01-16 21:00:00,2025.07,sell,0.02,2025.77,2023.6699999999998,2022.57,7.0,closed_full,False,Setup FVG bullish Fail (Confirmed),2971,2024-01-16 21:05:00,2025.77,-7.000000000000455,-1.400000000000091,SL Hit,27.920000000000073,0.02
2,2024-01-16 21:05:00,2025.89,sell,0.02,2026.5900000000001,2024.49,2023.39,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),2972,2024-01-16 21:10:00,2026.5900000000001,-7.000000000000455,-1.400000000000091,SL Hit,26.519999999999982,0.02
3,2024-01-16 21:10:00,2025.64,sell,0.02,2026.3400000000001,2024.24,2023.14,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),2973,2024-01-16 21:15:00,2026.3400000000001,-7.000000000000455,-1.400000000000091,SL Hit,25.11999999999989,0.02
4,2024-01-16 21:15:00,2026.78,sell,0.02,2027.48,2025.3799999999999,2024.28,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),2974,2024-01-16 21:20:00,2027.48,-7.000000000000455,-1.400000000000091,SL Hit,23.7199999999998,0.02
1,2024-01-17 21:00:00,2004.75,buy,0.02,2004.05,2006.15,2007.25,7.0,closed_partial,False,Setup FVG bearish Fail (Confirmed),3247,2024-01-17 21:05:00,2006.15,14.00000000000091,1.400000000000091,TP1 Hit (Partial),25.11999999999989,0.01
1,2024-01-17 21:00:00,2004.75,buy,0.01,2004.75,2006.15,2007.25,7.0,closed_full,True,Setup FVG bearish Fail (Confirmed),3247,2024-01-17 21:05:00,2005.58,8.299999999999272,0.8299999999999272,Confirmed Reversal,25.949999999999818,0.01
2,2024-01-17 21:05:00,2005.82,sell,0.02,2006.52,2004.4199999999998,2003.32,7.0,closed_full,False,Reversal after 2 FVG fails,3248,2024-01-17 21:20:00,2006.52,-7.000000000000455,-1.400000000000091,SL Hit,24.549999999999727,0.02
3,2024-01-17 21:20:00,2006.0,sell,0.02,2006.44,2005.12,2003.5,4.400000000000546,closed_full,False,Continuous FVG bullish Fail (Confirmed),3251,2024-01-17 21:25:00,2006.44,-4.400000000000546,-0.8800000000001091,SL Hit,23.669999999999618,0.02
4,2024-01-17 21:25:00,2006.56,sell,0.02,2006.6799999999998,2006.3200000000002,2004.06,1.1999999999989086,closed_partial,False,Continuous FVG bullish Fail (Confirmed),3252,2024-01-17 21:30:00,2006.3200000000002,2.399999999997817,0.23999999999978172,TP1 Hit (Partial),23.9099999999994,0.01
4,2024-01-17 21:25:00,2006.56,sell,0.01,2006.56,2006.3200000000002,2004.06,1.1999999999989086,closed_full,True,Continuous FVG bullish Fail (Confirmed),3252,2024-01-17 22:35:00,2006.56,0.0,0.0,SL Hit,23.9099999999994,0.01
1,2024-01-24 21:00:00,2015.13,buy,0.02,2014.43,2016.5300000000002,2017.63,7.0,closed_full,False,Setup FVG bearish Fail (Confirmed),4627,2024-01-24 21:05:00,2014.43,-7.000000000000455,-1.400000000000091,SL Hit,22.50999999999931,0.02
2,2024-01-24 21:05:00,2014.35,sell,0.02,2015.05,2012.9499999999998,2011.85,7.0,closed_partial,False,Continuous FVG bullish Fail (Confirmed),4628,2024-01-24 21:20:00,2012.9499999999998,14.00000000000091,1.400000000000091,TP1 Hit (Partial),23.9099999999994,0.01
2,2024-01-24 21:05:00,2014.35,sell,0.01,2014.35,2012.9499999999998,2011.85,7.0,closed_full,True,Continuous FVG bullish Fail (Confirmed),4628,2024-01-24 21:20:00,2011.85,25.0,2.5,TP2 Hit,26.4099999999994,0.01
3,2024-01-24 21:20:00,2013.81,sell,0.02,2014.51,2012.4099999999999,2011.31,7.0,closed_partial,False,Continuous FVG bullish Fail (Confirmed),4631,2024-01-24 21:25:00,2012.4099999999999,14.00000000000091,1.400000000000091,TP1 Hit (Partial),27.80999999999949,0.01
3,2024-01-24 21:20:00,2013.81,sell,0.01,2013.81,2012.4099999999999,2011.31,7.0,closed_full,True,Continuous FVG bullish Fail (Confirmed),4631,2024-01-24 21:25:00,2011.31,25.0,2.5,TP2 Hit,30.30999999999949,0.01
4,2024-01-24 21:25:00,2012.1,sell,0.02,2012.8,2010.6999999999998,2009.6,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),4632,2024-01-24 21:30:00,2012.8,-7.000000000000455,-1.400000000000091,SL Hit,28.9099999999994,0.02
1,2024-01-25 21:00:00,2014.19,sell,0.02,2014.89,2012.79,2011.69,7.0,closed_full,False,Setup FVG bullish Fail (Confirmed),4903,2024-01-25 21:10:00,2014.89,-7.000000000000455,-1.400000000000091,SL Hit,27.50999999999931,0.02
2,2024-01-25 21:10:00,2014.28,sell,0.02,2014.98,2012.8799999999999,2011.78,7.0,closed_full,False,Continuous FVG bullish Fail (Confirmed),4905,2024-01-25 21:15:00,2014.98,-7.000000000000455,-1.400000000000091,SL Hit,26.109999999999218,0.02
3,2024-01-25 21:15:00,2015.01,buy,0.02,2014.31,2016.41,2017.51,7.0,closed_partial,False,Continuous FVG bearish Fail (Confirmed),4906,2024-01-25 21:20:00,2016.41,14.00000000000091,1.400000000000091,TP1 Hit (Partial),27.50999999999931,0.01
3,2024-01-25 21:15:00,2015.01,buy,0.01,2015.01,2016.41,2017.51,7.0,closed_full,True,Continuous FVG bearish Fail (Confirmed),4906,2024-01-25 21:25:00,2017.51,25.0,2.5,TP2 Hit,30.00999999999931,0.01
