Date;Open;High;Low;Close;Volume
2024.05.01 01:00;2286.76;2289.63;2286.34;2288.26;269
2024.05.01 01:05;2287.21;2289.04;2287.21;2288.61;95
2024.05.01 01:10;2288.62;2288.81;2288.13;2288.53;159
2024.05.01 01:15;2288.53;2289.04;2288.21;2289.04;125
2024.05.01 01:20;2289.13;2289.83;2288.91;2289.41;73
2024.05.01 01:25;2289.53;2291.3;2289.34;2290.55;167
2024.05.01 01:30;2290.56;2291.55;2290.08;2291.25;125
2024.05.01 01:35;2291.18;2291.55;2290.85;2291.28;90
2024.05.01 01:40;2291.35;2291.69;2291.09;2291.67;90
2024.05.01 01:45;2291.59;2291.79;2290.63;2291.29;133
2024.05.01 01:50;2291.29;2291.69;2290.88;2291.48;109
2024.05.01 01:55;2291.48;2291.69;2290.87;2291.29;86
2024.05.01 02:00;2291.29;2292.5;2291.29;2291.77;142
2024.05.01 02:05;2291.65;2292.07;2290.96;2291.87;112
2024.05.01 02:10;2291.86;2291.86;2291.21;2291.57;97
2024.05.01 02:15;2291.57;2291.7;2290.82;2291.13;126
2024.05.01 02:20;2291.08;2292.07;2290.88;2292.01;153
2024.05.01 02:25;2292.01;2292.44;2291.82;2292.05;87
2024.05.01 02:30;2292.0;2292.59;2291.71;2292.39;112
2024.05.01 02:35;2292.41;2292.54;2292.2;2292.52;62
2024.05.01 02:40;2292.52;2293.17;2292.51;2292.74;132
2024.05.01 02:45;2292.74;2292.74;2291.34;2291.37;151
2024.05.01 02:50;2291.27;2291.8;2291.02;2291.63;146
2024.05.01 02:55;2291.63;2292.15;2289.92;2291.24;204
2024.05.01 03:00;2291.29;2292.78;2291.29;2292.08;264
2024.05.01 03:05;2292.14;2292.66;2291.88;2291.96;165
2024.05.01 03:10;2291.97;2292.83;2291.65;2292.31;129
2024.05.01 03:15;2292.31;2292.61;2290.93;2291.0;163
2024.05.01 03:20;2291.05;2291.05;2288.17;2288.4;228
2024.05.01 03:25;2288.53;2290.0;2288.43;2289.89;209
2024.05.01 03:30;2289.83;2290.43;2289.2;2290.06;163
2024.05.01 03:35;2290.06;2290.14;2288.33;2288.45;145
2024.05.01 03:40;2288.38;2289.05;2287.87;2287.87;111
2024.05.01 03:45;2287.74;2288.58;2286.69;2286.92;213
2024.05.01 03:50;2286.87;2288.48;2285.76;2287.8;223
2024.05.01 03:55;2287.88;2288.27;2286.67;2286.87;195
2024.05.01 04:00;2286.79;2288.66;2286.33;2288.27;238
2024.05.01 04:05;2288.27;2288.55;2287.57;2288.05;171
2024.05.01 04:10;2288.05;2288.28;2287.19;2287.27;246
2024.05.01 04:15;2287.19;2287.88;2286.84;2287.86;142
2024.05.01 04:20;2287.73;2288.05;2287.23;2287.69;131
2024.05.01 04:25;2287.66;2288.6;2287.45;2287.67;151
2024.05.01 04:30;2287.75;2287.86;2286.67;2286.67;174
2024.05.01 04:35;2286.68;2286.87;2286.02;2286.61;190
2024.05.01 04:40;2286.56;2288.28;2286.51;2288.25;167
2024.05.01 04:45;2288.19;2289.44;2287.54;2288.96;211
2024.05.01 04:50;2289.23;2289.25;2288.34;2288.47;215
2024.05.01 04:55;2288.47;2289.34;2288.0;2288.0;195
2024.05.01 05:00;2288.0;2288.61;2287.2;2287.2;158
2024.05.01 05:05;2287.2;2287.7;2286.93;2286.93;106
2024.05.01 05:10;2286.93;2287.38;2286.72;2287.27;117
2024.05.01 05:15;2287.23;2287.84;2287.13;2287.44;117
2024.05.01 05:20;2287.44;2288.06;2287.43;2287.82;112
2024.05.01 05:25;2287.71;2287.98;2287.63;2287.75;102
2024.05.01 05:30;2287.75;2287.75;2286.76;2287.31;154
2024.05.01 05:35;2287.31;2288.01;2287.14;2287.61;145
2024.05.01 05:40;2287.61;2288.32;2287.46;2288.12;110
2024.05.01 05:45;2288.09;2288.12;2287.13;2287.24;120
2024.05.01 05:50;2287.24;2288.15;2287.07;2288.14;130
2024.05.01 05:55;2288.12;2288.61;2287.71;2288.0;139
2024.05.01 06:00;2287.97;2288.31;2287.81;2287.87;109
